actors,director,movie_name
Nabil Ben Mhamed,Mathieu Kassovitz,La haine
Benoît Magimel,Mathieu Kassovitz,La haine
Médard Niang,Mathieu Kassovitz,La haine
Arash Mansour,Mathieu Kassovitz,La haine
Abdel-Moulah Boujdouni,Mathieu Kassovitz,La haine
Mathilde Vitry,Mathieu Kassovitz,La haine
Christian Moro,Mathieu Kassovitz,La haine
Christian Moro,Mathieu Kassovitz,La haine
Brahim Hadjadj,Gillo Pontecorvo,The Battle of Algiers
Jean Martin,Gillo Pontecorvo,The Battle of Algiers
Yacef Saadi,Gillo Pontecorvo,The Battle of Algiers
Samia Kerbash,Gillo Pontecorvo,The Battle of Algiers
Ugo Paletti,Gillo Pontecorvo,The Battle of Algiers
Fusia El Kader,Gillo Pontecorvo,The Battle of Algiers
Mohamed Ben Kassen,Gillo Pontecorvo,The Battle of Algiers
Franco Moruzzi,Gillo Pontecorvo,The Battle of Algiers
Tommaso Neri,Gillo Pontecorvo,The Battle of Algiers
Rouïched,Gillo Pontecorvo,The Battle of Algiers
Gene Wesson,Gillo Pontecorvo,The Battle of Algiers
Gene Wesson,Gillo Pontecorvo,The Battle of Algiers
Johnny Depp,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Geoffrey Rush,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Orlando Bloom,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Keira Knightley,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Jack Davenport,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Jonathan Pryce,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Lee Arenberg,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Mackenzie Crook,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Damian O'Hare,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Giles New,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Angus Barnett,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
David Bailie,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Michael Berry Jr.,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Isaac C. Singleton Jr.,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Kevin McNally,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Treva Etienne,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Zoe Saldana,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Guy Siner,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Guy Siner,Gore Verbinski,Pirates of the Caribbean: The Curse of the Black Pearl
Richard Gere,Lasse Hallström,Hachi: A Dog's Tale
Joan Allen,Lasse Hallström,Hachi: A Dog's Tale
Cary-Hiroyuki Tagawa,Lasse Hallström,Hachi: A Dog's Tale
Sarah Roemer,Lasse Hallström,Hachi: A Dog's Tale
Jason Alexander,Lasse Hallström,Hachi: A Dog's Tale
Erick Avari,Lasse Hallström,Hachi: A Dog's Tale
Davenia McFadden,Lasse Hallström,Hachi: A Dog's Tale
Robbie Sublett,Lasse Hallström,Hachi: A Dog's Tale
Kevin DeCoste,Lasse Hallström,Hachi: A Dog's Tale
Rob Degnan,Lasse Hallström,Hachi: A Dog's Tale
Tora Hallström,Lasse Hallström,Hachi: A Dog's Tale
Donna Sorbello,Lasse Hallström,Hachi: A Dog's Tale
